mushroom_id,class
6500,e
6501,e
6502,e
6503,e
6504,e
6505,e
6506,e
6507,e
6508,e
6509,e
6510,e
6511,e
6512,e
6513,e
6514,e
6515,e
6516,e
6517,e
6518,e
6519,e
6520,e
6521,e
6522,e
6523,e
6524,e
6525,e
6526,e
6527,e
6528,e
6529,e
6530,e
6531,e
6532,e
6533,e
6534,e
6535,e
6536,e
6537,e
6538,e
6539,e
6540,e
6541,e
6542,e
6543,e
6544,e
6545,e
6546,e
6547,e
6548,e
6549,e
6550,e
6551,e
6552,e
6553,e
6554,e
6555,e
6556,e
6557,e
6558,e
6559,e
6560,e
6561,e
6562,e
6563,e
6564,e
6565,e
6566,e
6567,e
6568,e
6569,e
6570,e
6571,e
6572,e
6573,e
6574,e
6575,e
6576,e
6577,e
6578,e
6579,e
6580,e
6581,e
6582,e
6583,e
6584,e
6585,e
6586,e
6587,e
6588,e
6589,e
6590,e
6591,e
6592,e
6593,e
6594,e
6595,e
6596,e
6597,e
6598,e
6599,e
6600,e
6601,e
6602,e
6603,e
6604,e
6605,e
6606,e
6607,e
6608,e
6609,e
6610,e
6611,e
6612,e
6613,e
6614,e
6615,e
6616,e
6617,e
6618,e
6619,e
6620,e
6621,e
6622,e
6623,e
6624,e
6625,e
6626,e
6627,e
6628,e
6629,e
6630,e
6631,e
6632,e
6633,e
6634,e
6635,e
6636,e
6637,e
6638,e
6639,e
6640,e
6641,e
6642,e
6643,e
6644,e
6645,e
6646,e
6647,e
6648,e
6649,e
6650,e
6651,e
6652,e
6653,e
6654,e
6655,e
6656,e
6657,e
6658,e
6659,e
6660,e
6661,e
6662,e
6663,e
6664,e
6665,e
6666,e
6667,e
6668,e
6669,e
6670,e
6671,e
6672,e
6673,e
6674,e
6675,e
6676,e
6677,e
6678,e
6679,e
6680,e
6681,e
6682,e
6683,e
6684,e
6685,e
6686,e
6687,e
6688,e
6689,e
6690,e
6691,e
6692,e
6693,e
6694,e
6695,e
6696,e
6697,e
6698,e
6699,e
6700,e
6701,e
6702,e
6703,e
6704,e
6705,e
6706,e
6707,e
6708,e
6709,e
6710,e
6711,e
6712,e
6713,e
6714,e
6715,e
6716,e
6717,e
6718,e
6719,e
6720,e
6721,e
6722,e
6723,e
6724,e
6725,e
6726,e
6727,e
6728,e
6729,e
6730,e
6731,e
6732,e
6733,e
6734,e
6735,e
6736,e
6737,e
6738,e
6739,e
6740,e
6741,e
6742,e
6743,e
6744,e
6745,e
6746,e
6747,e
6748,e
6749,e
6750,e
6751,e
6752,e
6753,e
6754,e
6755,e
6756,e
6757,e
6758,e
6759,e
6760,e
6761,e
6762,e
6763,e
6764,e
6765,e
6766,e
6767,e
6768,e
6769,e
6770,e
6771,e
6772,e
6773,e
6774,e
6775,e
6776,e
6777,e
6778,e
6779,e
6780,e
6781,e
6782,e
6783,e
6784,e
6785,e
6786,e
6787,e
6788,e
6789,e
6790,e
6791,e
6792,e
6793,e
6794,e
6795,e
6796,e
6797,e
6798,e
6799,e
6800,e
6801,e
6802,e
6803,e
6804,e
6805,e
6806,e
6807,e
6808,e
6809,e
6810,e
6811,e
6812,e
6813,e
6814,e
6815,e
6816,e
6817,e
6818,e
6819,e
6820,e
6821,e
6822,e
6823,e
6824,e
6825,e
6826,e
6827,e
6828,e
6829,e
6830,e
6831,e
6832,e
6833,e
6834,e
6835,e
6836,e
6837,e
6838,e
6839,e
6840,e
6841,e
6842,e
6843,e
6844,e
6845,e
6846,e
6847,e
6848,e
6849,e
6850,e
6851,e
6852,e
6853,e
6854,e
6855,e
6856,e
6857,e
6858,e
6859,e
6860,e
6861,e
6862,e
6863,e
6864,e
6865,e
6866,e
6867,e
6868,e
6869,e
6870,e
6871,e
6872,e
6873,e
6874,e
6875,e
6876,e
6877,e
6878,e
6879,e
6880,e
6881,e
6882,e
6883,e
6884,e
6885,e
6886,e
6887,e
6888,e
6889,e
6890,e
6891,e
6892,e
6893,e
6894,e
6895,e
6896,e
6897,e
6898,e
6899,e
6900,e
6901,e
6902,e
6903,e
6904,e
6905,e
6906,e
6907,e
6908,e
6909,e
6910,e
6911,e
6912,e
6913,e
6914,e
6915,e
6916,e
6917,e
6918,e
6919,e
6920,e
6921,e
6922,e
6923,e
6924,e
6925,e
6926,e
6927,e
6928,e
6929,e
6930,e
6931,e
6932,e
6933,e
6934,e
6935,e
6936,e
6937,e
6938,e
6939,e
6940,e
6941,e
6942,e
6943,e
6944,e
6945,e
6946,e
6947,e
6948,e
6949,e
6950,e
6951,e
6952,e
6953,e
6954,e
6955,e
6956,e
6957,e
6958,e
6959,e
6960,e
6961,e
6962,e
6963,e
6964,e
6965,e
6966,e
6967,e
6968,e
6969,e
6970,e
6971,e
6972,e
6973,e
6974,e
6975,e
6976,e
6977,e
6978,e
6979,e
6980,e
6981,e
6982,e
6983,e
6984,e
6985,e
6986,e
6987,e
6988,e
6989,e
6990,e
6991,e
6992,e
6993,e
6994,e
6995,e
6996,e
6997,e
6998,e
6999,e
7000,e
7001,e
7002,e
7003,e
7004,e
7005,e
7006,e
7007,e
7008,e
7009,e
7010,e
7011,e
7012,e
7013,e
7014,e
7015,e
7016,e
7017,e
7018,e
7019,e
7020,e
7021,e
7022,e
7023,e
7024,e
7025,e
7026,e
7027,e
7028,e
7029,e
7030,e
7031,e
7032,e
7033,e
7034,e
7035,e
7036,e
7037,e
7038,e
7039,e
7040,e
7041,e
7042,e
7043,e
7044,e
7045,e
7046,e
7047,e
7048,e
7049,e
7050,e
7051,e
7052,e
7053,e
7054,e
7055,e
7056,e
7057,e
7058,e
7059,e
7060,e
7061,e
7062,e
7063,e
7064,e
7065,e
7066,e
7067,e
7068,e
7069,e
7070,e
7071,e
7072,e
7073,e
7074,e
7075,e
7076,e
7077,e
7078,e
7079,e
7080,e
7081,e
7082,e
7083,e
7084,e
7085,e
7086,e
7087,e
7088,e
7089,e
7090,e
7091,e
7092,e
7093,e
7094,e
7095,e
7096,e
7097,e
7098,e
7099,e
7100,e
7101,e
7102,e
7103,e
7104,e
7105,e
7106,e
7107,e
7108,e
7109,e
7110,e
7111,e
7112,e
7113,e
7114,e
7115,e
7116,e
7117,e
7118,e
7119,e
7120,e
7121,e
7122,e
7123,e
7124,e
7125,e
7126,e
7127,e
7128,e
7129,e
7130,e
7131,e
7132,e
7133,e
7134,e
7135,e
7136,e
7137,e
7138,e
7139,e
7140,e
7141,e
7142,e
7143,e
7144,e
7145,e
7146,e
7147,e
7148,e
7149,e
7150,e
7151,e
7152,e
7153,e
7154,e
7155,e
7156,e
7157,e
7158,e
7159,e
7160,e
7161,e
7162,e
7163,e
7164,e
7165,e
7166,e
7167,e
7168,e
7169,e
7170,e
7171,e
7172,e
7173,e
7174,e
7175,e
7176,e
7177,e
7178,e
7179,e
7180,e
7181,e
7182,e
7183,e
7184,e
7185,e
7186,e
7187,e
7188,e
7189,e
7190,e
7191,e
7192,e
7193,e
7194,e
7195,e
7196,e
7197,e
7198,e
7199,e
7200,e
7201,e
7202,e
7203,e
7204,e
7205,e
7206,e
7207,e
7208,e
7209,e
7210,e
7211,e
7212,e
7213,e
7214,e
7215,e
7216,e
7217,e
7218,e
7219,e
7220,e
7221,e
7222,e
7223,e
7224,e
7225,e
7226,e
7227,e
7228,e
7229,e
7230,e
7231,e
7232,e
7233,e
7234,e
7235,e
7236,e
7237,e
7238,e
7239,e
7240,e
7241,e
7242,e
7243,e
7244,e
7245,e
7246,e
7247,e
7248,e
7249,e
7250,e
7251,e
7252,e
7253,e
7254,e
7255,e
7256,e
7257,e
7258,e
7259,e
7260,e
7261,e
7262,e
7263,e
7264,e
7265,e
7266,e
7267,e
7268,e
7269,e
7270,e
7271,e
7272,e
7273,e
7274,e
7275,e
7276,e
7277,e
7278,e
7279,e
7280,e
7281,e
7282,e
7283,e
7284,e
7285,e
7286,e
7287,e
7288,e
7289,e
7290,e
7291,e
7292,e
7293,e
7294,e
7295,e
7296,e
7297,e
7298,e
7299,e
7300,e
7301,e
7302,e
7303,e
7304,e
7305,e
7306,e
7307,e
7308,e
7309,e
7310,e
7311,e
7312,e
7313,e
7314,e
7315,e
7316,e
7317,e
7318,e
7319,e
7320,e
7321,e
7322,e
7323,e
7324,e
7325,e
7326,e
7327,e
7328,e
7329,e
7330,e
7331,e
7332,e
7333,e
7334,e
7335,e
7336,e
7337,e
7338,e
7339,e
7340,e
7341,e
7342,e
7343,e
7344,e
7345,e
7346,e
7347,e
7348,e
7349,e
7350,e
7351,e
7352,e
7353,e
7354,e
7355,e
7356,e
7357,e
7358,e
7359,e
7360,e
7361,e
7362,e
7363,e
7364,e
7365,e
7366,e
7367,e
7368,e
7369,e
7370,e
7371,e
7372,e
7373,e
7374,e
7375,e
7376,e
7377,e
7378,e
7379,e
7380,e
7381,e
7382,e
7383,e
7384,e
7385,e
7386,e
7387,e
7388,e
7389,e
7390,e
7391,e
7392,e
7393,e
7394,e
7395,e
7396,e
7397,e
7398,e
7399,e
7400,e
7401,e
7402,e
7403,e
7404,e
7405,e
7406,e
7407,e
7408,e
7409,e
7410,e
7411,e
7412,e
7413,e
7414,e
7415,e
7416,e
7417,e
7418,e
7419,e
7420,e
7421,e
7422,e
7423,e
7424,e
7425,e
7426,e
7427,e
7428,e
7429,e
7430,e
7431,e
7432,e
7433,e
7434,e
7435,e
7436,e
7437,e
7438,e
7439,e
7440,e
7441,e
7442,e
7443,e
7444,e
7445,e
7446,e
7447,e
7448,e
7449,e
7450,e
7451,e
7452,e
7453,e
7454,e
7455,e
7456,e
7457,e
7458,e
7459,e
7460,e
7461,e
7462,e
7463,e
7464,e
7465,e
7466,e
7467,e
7468,e
7469,e
7470,e
7471,e
7472,e
7473,e
7474,e
7475,e
7476,e
7477,e
7478,e
7479,e
7480,e
7481,e
7482,e
7483,e
7484,e
7485,e
7486,e
7487,e
7488,e
7489,e
7490,e
7491,e
7492,e
7493,e
7494,e
7495,e
7496,e
7497,e
7498,e
7499,e
7500,e
7501,e
7502,e
7503,e
7504,e
7505,e
7506,e
7507,e
7508,e
7509,e
7510,e
7511,e
7512,e
7513,e
7514,e
7515,e
7516,e
7517,e
7518,e
7519,e
7520,e
7521,e
7522,e
7523,e
7524,e
7525,e
7526,e
7527,e
7528,e
7529,e
7530,e
7531,e
7532,e
7533,e
7534,e
7535,e
7536,e
7537,e
7538,e
7539,e
7540,e
7541,e
7542,e
7543,e
7544,e
7545,e
7546,e
7547,e
7548,e
7549,e
7550,e
7551,e
7552,e
7553,e
7554,e
7555,e
7556,e
7557,e
7558,e
7559,e
7560,e
7561,e
7562,e
7563,e
7564,e
7565,e
7566,e
7567,e
7568,e
7569,e
7570,e
7571,e
7572,e
7573,e
7574,e
7575,e
7576,e
7577,e
7578,e
7579,e
7580,e
7581,e
7582,e
7583,e
7584,e
7585,e
7586,e
7587,e
7588,e
7589,e
7590,e
7591,e
7592,e
7593,e
7594,e
7595,e
7596,e
7597,e
7598,e
7599,e
7600,e
7601,e
7602,e
7603,e
7604,e
7605,e
7606,e
7607,e
7608,e
7609,e
7610,e
7611,e
7612,e
7613,e
7614,e
7615,e
7616,e
7617,e
7618,e
7619,e
7620,e
7621,e
7622,e
7623,e
7624,e
7625,e
7626,e
7627,e
7628,e
7629,e
7630,e
7631,e
7632,e
7633,e
7634,e
7635,e
7636,e
7637,e
7638,e
7639,e
7640,e
7641,e
7642,e
7643,e
7644,e
7645,e
7646,e
7647,e
7648,e
7649,e
7650,e
7651,e
7652,e
7653,e
7654,e
7655,e
7656,e
7657,e
7658,e
7659,e
7660,e
7661,e
7662,e
7663,e
7664,e
7665,e
7666,e
7667,e
7668,e
7669,e
7670,e
7671,e
7672,e
7673,e
7674,e
7675,e
7676,e
7677,e
7678,e
7679,e
7680,e
7681,e
7682,e
7683,e
7684,e
7685,e
7686,e
7687,e
7688,e
7689,e
7690,e
7691,e
7692,e
7693,e
7694,e
7695,e
7696,e
7697,e
7698,e
7699,e
7700,e
7701,e
7702,e
7703,e
7704,e
7705,e
7706,e
7707,e
7708,e
7709,e
7710,e
7711,e
7712,e
7713,e
7714,e
7715,e
7716,e
7717,e
7718,e
7719,e
7720,e
7721,e
7722,e
7723,e
7724,e
7725,e
7726,e
7727,e
7728,e
7729,e
7730,e
7731,e
7732,e
7733,e
7734,e
7735,e
7736,e
7737,e
7738,e
7739,e
7740,e
7741,e
7742,e
7743,e
7744,e
7745,e
7746,e
7747,e
7748,e
7749,e
7750,e
7751,e
7752,e
7753,e
7754,e
7755,e
7756,e
7757,e
7758,e
7759,e
7760,e
7761,e
7762,e
7763,e
7764,e
7765,e
7766,e
7767,e
7768,e
7769,e
7770,e
7771,e
7772,e
7773,e
7774,e
7775,e
