mushroom_id,class
6500,p
6501,p
6502,p
6503,p
6504,p
6505,p
6506,p
6507,p
6508,p
6509,e
6510,p
6511,p
6512,p
6513,p
6514,p
6515,p
6516,p
6517,e
6518,p
6519,p
6520,p
6521,p
6522,p
6523,p
6524,p
6525,p
6526,p
6527,p
6528,p
6529,p
6530,e
6531,p
6532,p
6533,p
6534,p
6535,p
6536,p
6537,p
6538,p
6539,p
6540,p
6541,p
6542,p
6543,p
6544,p
6545,p
6546,p
6547,p
6548,p
6549,p
6550,p
6551,p
6552,p
6553,p
6554,p
6555,p
6556,p
6557,p
6558,e
6559,p
6560,p
6561,p
6562,p
6563,p
6564,p
6565,p
6566,p
6567,p
6568,p
6569,p
6570,p
6571,p
6572,p
6573,p
6574,p
6575,p
6576,p
6577,p
6578,p
6579,p
6580,p
6581,p
6582,p
6583,p
6584,p
6585,p
6586,p
6587,p
6588,p
6589,p
6590,p
6591,p
6592,p
6593,p
6594,p
6595,p
6596,p
6597,p
6598,p
6599,e
6600,p
6601,p
6602,p
6603,p
6604,p
6605,p
6606,p
6607,p
6608,p
6609,p
6610,p
6611,p
6612,p
6613,p
6614,p
6615,p
6616,p
6617,p
6618,p
6619,p
6620,p
6621,p
6622,p
6623,p
6624,p
6625,p
6626,p
6627,p
6628,p
6629,p
6630,p
6631,p
6632,p
6633,p
6634,p
6635,p
6636,p
6637,p
6638,p
6639,p
6640,p
6641,p
6642,p
6643,p
6644,p
6645,p
6646,p
6647,p
6648,p
6649,p
6650,p
6651,p
6652,p
6653,p
6654,p
6655,p
6656,p
6657,p
6658,p
6659,p
6660,e
6661,p
6662,p
6663,e
6664,p
6665,p
6666,p
6667,p
6668,p
6669,p
6670,p
6671,p
6672,p
6673,p
6674,p
6675,p
6676,p
6677,p
6678,p
6679,p
6680,p
6681,p
6682,p
6683,p
6684,p
6685,p
6686,p
6687,p
6688,p
6689,p
6690,p
6691,p
6692,p
6693,p
6694,p
6695,p
6696,p
6697,p
6698,p
6699,p
6700,p
6701,p
6702,p
6703,p
6704,p
6705,p
6706,p
6707,p
6708,p
6709,p
6710,p
6711,p
6712,p
6713,p
6714,p
6715,p
6716,p
6717,p
6718,p
6719,p
6720,p
6721,p
6722,p
6723,p
6724,p
6725,p
6726,p
6727,p
6728,p
6729,p
6730,p
6731,p
6732,p
6733,p
6734,p
6735,p
6736,p
6737,p
6738,p
6739,p
6740,p
6741,p
6742,p
6743,p
6744,e
6745,p
6746,p
6747,p
6748,p
6749,p
6750,p
6751,p
6752,e
6753,p
6754,p
6755,p
6756,p
6757,p
6758,p
6759,p
6760,p
6761,p
6762,e
6763,e
6764,p
6765,p
6766,p
6767,p
6768,p
6769,p
6770,p
6771,p
6772,p
6773,p
6774,e
6775,p
6776,p
6777,p
6778,p
6779,p
6780,p
6781,p
6782,p
6783,p
6784,p
6785,p
6786,p
6787,p
6788,p
6789,p
6790,p
6791,p
6792,p
6793,p
6794,p
6795,p
6796,p
6797,p
6798,p
6799,p
6800,p
6801,p
6802,p
6803,p
6804,p
6805,p
6806,p
6807,p
6808,p
6809,p
6810,p
6811,p
6812,p
6813,p
6814,p
6815,p
6816,p
6817,p
6818,p
6819,p
6820,p
6821,p
6822,p
6823,p
6824,p
6825,p
6826,p
6827,e
6828,p
6829,p
6830,p
6831,p
6832,p
6833,p
6834,p
6835,p
6836,p
6837,p
6838,p
6839,p
6840,p
6841,p
6842,p
6843,p
6844,p
6845,p
6846,p
6847,p
6848,p
6849,e
6850,p
6851,p
6852,p
6853,p
6854,p
6855,p
6856,p
6857,p
6858,p
6859,p
6860,e
6861,p
6862,p
6863,p
6864,p
6865,p
6866,p
6867,p
6868,p
6869,p
6870,p
6871,p
6872,p
6873,p
6874,p
6875,p
6876,p
6877,p
6878,p
6879,p
6880,p
6881,p
6882,p
6883,p
6884,e
6885,p
6886,p
6887,p
6888,p
6889,p
6890,p
6891,p
6892,p
6893,p
6894,p
6895,p
6896,p
6897,p
6898,p
6899,p
6900,e
6901,p
6902,p
6903,p
6904,e
6905,e
6906,e
6907,e
6908,p
6909,p
6910,e
6911,p
6912,p
6913,p
6914,e
6915,p
6916,p
6917,p
6918,p
6919,p
6920,e
6921,p
6922,p
6923,p
6924,e
6925,p
6926,p
6927,e
6928,e
6929,p
6930,p
6931,p
6932,e
6933,p
6934,p
6935,p
6936,p
6937,e
6938,e
6939,p
6940,p
6941,e
6942,p
6943,p
6944,p
6945,p
6946,p
6947,p
6948,p
6949,p
6950,p
6951,p
6952,e
6953,p
6954,p
6955,p
6956,p
6957,p
6958,e
6959,p
6960,p
6961,p
6962,p
6963,p
6964,p
6965,p
6966,p
6967,e
6968,p
6969,p
6970,e
6971,p
6972,p
6973,p
6974,p
6975,e
6976,p
6977,p
6978,p
6979,p
6980,p
6981,p
6982,p
6983,p
6984,e
6985,p
6986,p
6987,p
6988,p
6989,e
6990,e
6991,p
6992,p
6993,p
6994,e
6995,p
6996,p
6997,e
6998,e
6999,e
7000,p
7001,p
7002,p
7003,e
7004,e
7005,e
7006,p
7007,p
7008,e
7009,e
7010,p
7011,e
7012,p
7013,p
7014,p
7015,e
7016,e
7017,p
7018,p
7019,e
7020,e
7021,p
7022,e
7023,p
7024,p
7025,e
7026,e
7027,p
7028,p
7029,p
7030,p
7031,p
7032,e
7033,e
7034,p
7035,e
7036,e
7037,e
7038,p
7039,e
7040,e
7041,e
7042,p
7043,p
7044,p
7045,p
7046,e
7047,p
7048,p
7049,p
7050,e
7051,e
7052,p
7053,p
7054,e
7055,p
7056,p
7057,p
7058,p
7059,p
7060,p
7061,p
7062,p
7063,e
7064,p
7065,p
7066,p
7067,e
7068,p
7069,p
7070,p
7071,p
7072,p
7073,e
7074,p
7075,p
7076,p
7077,p
7078,p
7079,e
7080,p
7081,p
7082,p
7083,p
7084,p
7085,p
7086,e
7087,p
7088,p
7089,e
7090,e
7091,p
7092,p
7093,p
7094,p
7095,p
7096,p
7097,p
7098,e
7099,p
7100,p
7101,p
7102,p
7103,e
7104,p
7105,p
7106,p
7107,p
7108,p
7109,p
7110,e
7111,p
7112,p
7113,p
7114,p
7115,p
7116,e
7117,p
7118,p
7119,e
7120,p
7121,p
7122,p
7123,e
7124,p
7125,p
7126,p
7127,p
7128,e
7129,p
7130,p
7131,p
7132,p
7133,e
7134,e
7135,e
7136,e
7137,p
7138,p
7139,p
7140,p
7141,e
7142,p
7143,e
7144,p
7145,p
7146,p
7147,p
7148,p
7149,p
7150,p
7151,p
7152,p
7153,e
7154,p
7155,p
7156,p
7157,p
7158,e
7159,p
7160,p
7161,p
7162,e
7163,p
7164,p
7165,p
7166,p
7167,e
7168,p
7169,p
7170,e
7171,p
7172,p
7173,e
7174,p
7175,p
7176,e
7177,p
7178,p
7179,p
7180,p
7181,e
7182,e
7183,e
7184,p
7185,e
7186,p
7187,p
7188,e
7189,p
7190,p
7191,p
7192,p
7193,p
7194,p
7195,e
7196,p
7197,p
7198,p
7199,p
7200,e
7201,p
7202,e
7203,p
7204,e
7205,e
7206,p
7207,p
7208,e
7209,p
7210,p
7211,e
7212,p
7213,p
7214,p
7215,p
7216,p
7217,e
7218,p
7219,p
7220,e
7221,e
7222,e
7223,p
7224,p
7225,p
7226,e
7227,p
7228,e
7229,e
7230,p
7231,e
7232,p
7233,e
7234,e
7235,e
7236,e
7237,p
7238,p
7239,e
7240,p
7241,p
7242,p
7243,p
7244,e
7245,e
7246,e
7247,p
7248,p
7249,p
7250,p
7251,e
7252,p
7253,e
7254,p
7255,e
7256,p
7257,p
7258,e
7259,p
7260,e
7261,p
7262,p
7263,e
7264,p
7265,p
7266,e
7267,p
7268,p
7269,p
7270,e
7271,e
7272,p
7273,e
7274,p
7275,p
7276,e
7277,p
7278,e
7279,p
7280,e
7281,e
7282,p
7283,p
7284,e
7285,p
7286,p
7287,p
7288,p
7289,p
7290,e
7291,p
7292,e
7293,e
7294,p
7295,p
7296,p
7297,p
7298,p
7299,e
7300,e
7301,e
7302,p
7303,p
7304,p
7305,e
7306,e
7307,p
7308,p
7309,e
7310,p
7311,e
7312,p
7313,p
7314,e
7315,e
7316,p
7317,p
7318,p
7319,e
7320,p
7321,p
7322,p
7323,p
7324,p
7325,e
7326,p
7327,e
7328,e
7329,e
7330,p
7331,p
7332,p
7333,p
7334,e
7335,e
7336,p
7337,p
7338,p
7339,p
7340,p
7341,p
7342,p
7343,p
7344,e
7345,p
7346,e
7347,p
7348,p
7349,e
7350,e
7351,p
7352,e
7353,e
7354,e
7355,p
7356,p
7357,p
7358,e
7359,e
7360,e
7361,e
7362,p
7363,p
7364,p
7365,p
7366,e
7367,p
7368,p
7369,p
7370,e
7371,p
7372,e
7373,e
7374,p
7375,e
7376,e
7377,e
7378,e
7379,p
7380,p
7381,p
7382,p
7383,p
7384,p
7385,e
7386,p
7387,p
7388,e
7389,p
7390,e
7391,e
7392,p
7393,p
7394,p
7395,p
7396,p
7397,p
7398,e
7399,p
7400,e
7401,p
7402,p
7403,p
7404,e
7405,e
7406,p
7407,e
7408,p
7409,p
7410,p
7411,e
7412,e
7413,e
7414,p
7415,e
7416,e
7417,p
7418,e
7419,p
7420,p
7421,p
7422,e
7423,p
7424,p
7425,e
7426,p
7427,p
7428,p
7429,p
7430,p
7431,p
7432,e
7433,p
7434,e
7435,p
7436,p
7437,e
7438,p
7439,e
7440,e
7441,p
7442,p
7443,e
7444,e
7445,e
7446,e
7447,p
7448,p
7449,e
7450,e
7451,p
7452,p
7453,p
7454,p
7455,e
7456,p
7457,p
7458,p
7459,e
7460,e
7461,p
7462,p
7463,e
7464,p
7465,p
7466,p
7467,e
7468,e
7469,p
7470,p
7471,p
7472,p
7473,p
7474,p
7475,p
7476,p
7477,p
7478,p
7479,e
7480,p
7481,e
7482,p
7483,p
7484,p
7485,p
7486,e
7487,p
7488,p
7489,p
7490,e
7491,p
7492,p
7493,p
7494,p
7495,p
7496,p
7497,p
7498,e
7499,e
7500,e
7501,p
7502,p
7503,p
7504,p
7505,p
7506,p
7507,p
7508,p
7509,p
7510,e
7511,p
7512,p
7513,e
7514,e
7515,p
7516,e
7517,p
7518,p
7519,p
7520,p
7521,p
7522,e
7523,e
7524,e
7525,p
7526,e
7527,p
7528,e
7529,e
7530,p
7531,e
7532,e
7533,e
7534,e
7535,e
7536,p
7537,e
7538,p
7539,p
7540,e
7541,e
7542,e
7543,e
7544,p
7545,p
7546,p
7547,e
7548,e
7549,p
7550,e
7551,p
7552,e
7553,p
7554,p
7555,e
7556,p
7557,p
7558,e
7559,e
7560,e
7561,e
7562,p
7563,p
7564,e
7565,p
7566,e
7567,p
7568,p
7569,p
7570,e
7571,p
7572,p
7573,e
7574,p
7575,p
7576,e
7577,p
7578,p
7579,p
7580,p
7581,e
7582,p
7583,p
7584,e
7585,e
7586,e
7587,p
7588,p
7589,p
7590,e
7591,p
7592,p
7593,e
7594,p
7595,p
7596,p
7597,e
7598,p
7599,p
7600,p
7601,p
7602,e
7603,p
7604,e
7605,p
7606,p
7607,p
7608,p
7609,e
7610,e
7611,p
7612,e
7613,p
7614,p
7615,e
7616,p
7617,e
7618,p
7619,p
7620,p
7621,p
7622,e
7623,e
7624,p
7625,p
7626,e
7627,e
7628,p
7629,p
7630,e
7631,e
7632,e
7633,p
7634,p
7635,p
7636,e
7637,p
7638,p
7639,p
7640,e
7641,e
7642,e
7643,e
7644,e
7645,p
7646,p
7647,p
7648,p
7649,e
7650,e
7651,e
7652,e
7653,p
7654,p
7655,p
7656,p
7657,p
7658,e
7659,e
7660,p
7661,p
7662,e
7663,p
7664,e
7665,e
7666,p
7667,p
7668,p
7669,p
7670,p
7671,e
7672,p
7673,e
7674,e
7675,p
7676,p
7677,p
7678,e
7679,p
7680,e
7681,p
7682,e
7683,p
7684,p
7685,e
7686,p
7687,p
7688,e
7689,e
7690,p
7691,p
7692,e
7693,p
7694,p
7695,p
7696,p
7697,p
7698,e
7699,e
7700,p
7701,e
7702,e
7703,p
7704,e
7705,e
7706,p
